Station_Name,Station_Latitude,Station_Longitude,Glacier_Name,Glacier_Latitude,Glacier_Longitude
GDH,69.25,-53.533,GL2U1HA03006,69.28,-53.56
GDH,69.25,-53.533,GL2U1HA03007,69.26,-53.55
GDH,69.25,-53.533,GL2U1HA04001,69.28,-53.55
MRZ1,42.2246,79.8597,SU5X14208098,42.26,79.88
MRZ1,42.2246,79.8597,SU5X14209106,42.2,79.89
MRZ1,42.2246,79.8597,SU5X14209044,42.23,79.81
MRZ1,42.2246,79.8597,SU5X14209049,42.25,79.88
MRZ1,42.2246,79.8597,SU5X14209108,42.2,79.87
MRZ1,42.2246,79.8597,SU5X14209045,42.24,79.83
MRZ1,42.2246,79.8597,SU5X14209109,42.19,79.86
MRZ1,42.2246,79.8597,SU5X14209048,42.24,79.87
MRZ1,42.2246,79.8597,SU5X14209110,42.19,79.85
MRZ1,42.2246,79.8597,SU5X14208100,42.26,79.83
MRZ1,42.2246,79.8597,SU5X14209050,42.21,79.82
MRZ1,42.2246,79.8597,SU5X14209051,42.25,79.89
MRZ1,42.2246,79.8597,SU5X14209047,42.24,79.86
MRZ1,42.2246,79.8597,SU5X14209105,42.21,79.89
MRZ1,42.2246,79.8597,SU5X14209046,42.24,79.86
MRZ1,42.2246,79.8597,SU5X14208099,42.26,79.86
MRZ1,42.2246,79.8597,SU5X14209107,42.21,79.88
BLANC,45.8444,6.934,FR4N01236A12,45.885,6.957
BLANC,45.8444,6.934,IT4L01517016,45.841,6.955
BLANC,45.8444,6.934,IT4L01517016,45.841,6.955
BLANC,45.8444,6.934,IT4L01517018,45.854,6.971
BLANC,45.8444,6.934,IT4L01517018,45.854,6.971
BLANC,45.8444,6.934,FR4N01236A11,45.883,6.957
BLANC,45.8444,6.934,IT4L01517014,45.841,6.935
BLANC,45.8444,6.934,IT4L01517013,45.839,6.924
BLANC,45.8444,6.934,IT4L01517013,45.839,6.924
BLANC,45.8444,6.934,IT4L01517011,45.822,6.903
BLANC,45.8444,6.934,IT4L01517011,45.822,6.903
BLANC,45.8444,6.934,FR4N01236A13,45.873,6.938
BLANC,45.8444,6.934,IT4L01517017,45.843,6.954
BLANC,45.8444,6.934,IT4L01517017,45.843,6.954
BLANC,45.8444,6.934,IT4L01517012,45.836,6.92
BLANC,45.8444,6.934,IT4L01517012,45.836,6.92
BLANC,45.8444,6.934,IT4L01517015,45.839,6.939
BLANC,45.8444,6.934,IT4L01517015,45.839,6.939
CIRO,45.6019,7.5681,IT4L01505003,45.624,7.525
CIRO,45.6019,7.5681,IT4L01505001,45.637,7.54
LSD,45.4596,7.1339,FR4N01153B11,45.418,7.15
LSD,45.4596,7.1339,IT4L01451007,45.431,7.133
LSD,45.4596,7.1339,IT4L01451013,45.479,7.117
LSD,45.4596,7.1339,IT4L01451004,45.417,7.154
LSD,45.4596,7.1339,FR4N01144E15,45.468,7.093
LSD,45.4596,7.1339,IT4L01451009,45.433,7.117
LSD,45.4596,7.1339,FR4N01144E24,45.436,7.093
LSD,45.4596,7.1339,IT4L01451008,45.433,7.125
LSD,45.4596,7.1339,FR4N01153B10,45.426,7.117
LSD,45.4596,7.1339,FR4N01144E18,45.458,7.092
LSD,45.4596,7.1339,FR4N01144E16,45.459,7.087
LSD,45.4596,7.1339,IT4L01514007,45.489,7.109
LSD,45.4596,7.1339,FR4N01144E20,45.454,7.091
LSD,45.4596,7.1339,IT4L01451011,45.45,7.106
LSD,45.4596,7.1339,FR4N01144E21,45.453,7.091
LSD,45.4596,7.1339,IT4L01514008,45.473,7.102
LSD,45.4596,7.1339,IT4L01514008,45.473,7.102
LSD,45.4596,7.1339,FR4N01144E23,45.443,7.092
LSD,45.4596,7.1339,IT4L01451010,45.447,7.117
LSD,45.4596,7.1339,IT4L01514006,45.502,7.127
LSD,45.4596,7.1339,IT4L01514006,45.502,7.127
LSD,45.4596,7.1339,FR4N01144E22,45.438,7.122
LSD,45.4596,7.1339,IT4L01515022,45.41,7.137
LSD,45.4596,7.1339,FR4N01153B09,45.426,7.105
LSD,45.4596,7.1339,IT4L01451006,45.431,7.149
LSD,45.4596,7.1339,FR4N01144E17,45.459,7.09
LSD,45.4596,7.1339,IT4L01451012,45.456,7.108
LSD,45.4596,7.1339,FR4N01144E19,45.456,7.091
REMY,45.8378,7.1565,IT4L01521004,45.869,7.136
REMY,45.8378,7.1565,IT4L01521003,45.856,7.12
REMY,45.8378,7.1565,IT4L01521003,45.856,7.12
REMY,45.8378,7.1565,CH4N01384023,45.866,7.178
REMY,45.8378,7.1565,CH4N01384024,45.882,7.158
SATI,45.8754,7.8685,IT4L01042003,45.829,7.882
SATI,45.8754,7.8685,IT4L01042004,45.836,7.872
SATI,45.8754,7.8685,IT4L01042005,45.855,7.88
SATI,45.8754,7.8685,IT4L01508305,45.9,7.852
SATI,45.8754,7.8685,IT4L01042006,45.889,7.871
SATI,45.8754,7.8685,IT4L01042007,45.908,7.878
SATI,45.8754,7.8685,IT4L01042008,45.915,7.883
SATI,45.8754,7.8685,IT4L01042009,45.917,7.894
SATI,45.8754,7.8685,IT4L01502003,45.891,7.856
SATI,45.8754,7.8685,IT4L01502003,45.891,7.856
BRMO,46.47616,10.37218,IT4L01139007,46.494,10.415
BRMO,46.47616,10.37218,IT4L01139006,46.494,10.417
BRMO,46.47616,10.37218,IT4L01139008,46.494,10.404
MABI,46.05492,10.514,IT4L01024012,46.025,10.485
MABI,46.05492,10.514,IT4L01021017,46.047,10.557
MABI,46.05492,10.514,IT4L01021018,46.042,10.547
MABI,46.05492,10.514,IT4L01024011,46.099,10.533
MRGE,45.76975,7.06101,IT4L01517034,45.809,7.056
MRGE,45.76975,7.06101,IT4L01517034,45.809,7.056
TUE,46.47223,9.34732,CH4R0133I002,46.513,9.369
TUE,46.47223,9.34732,CH4R0133J002,46.516,9.359
TUE,46.47223,9.34732,CH4R0133J003,46.511,9.36
TUE,46.47223,9.34732,IT4L01113007,46.506,9.361
TUE,46.47223,9.34732,IT4L01113008,46.504,9.372
TUE,46.47223,9.34732,CH4R0133I003,46.516,9.367
CARE,46.4252,10.6945,IT4L00102301,46.421,10.731
CARE,46.4252,10.6945,IT4L00102519,46.447,10.704
CARE,46.4252,10.6945,IT4L00112119,46.473,10.706
CARE,46.4252,10.6945,IT4L00112124,46.456,10.67
CARE,46.4252,10.6945,IT4L00112122,46.458,10.683
CARE,46.4252,10.6945,IT4L00112123,46.458,10.671
CARE,46.4252,10.6945,IT4L00112121,46.464,10.693
CARE,46.4252,10.6945,IT4L00102520,46.423,10.722
CARE,46.4252,10.6945,IT4L00102307,46.467,10.721
CARE,46.4252,10.6945,IT4L00102302,46.428,10.733
CARE,46.4252,10.6945,IT4L00102518,46.45,10.67
CARE,46.4252,10.6945,IT4L00102303,46.446,10.725
CARE,46.4252,10.6945,IT4L00102304,46.454,10.728
CARE,46.4252,10.6945,IT4L00112120,46.467,10.7
ESPZ,-63.398102,-56.996399,AQ7TPE000093,-63.4235,-57.0382
ESPZ,-63.398102,-56.996399,AQ7TPE000001,-63.4299,-56.9758
