wgi_glacier_id,political_unit,lat,lon
AF5Q112B0009,AF,34.807,68.891
AF5Q112C0025,AF,35.438,69.552
AF5Q112C0085,AF,35.869,70.224
AF5Q112C0146,AF,35.458,70.023
AF5Q112C0151,AF,35.409,69.959
AF5Q112C0242,AF,35.184,69.625
AF5X14005008,AF,38.007,70.738
AF5X14005043,AF,37.903,70.969
AF5X14005081,AF,37.773,70.835
AF5X14006007,AF,38.272,70.738
AF5X14007001,AF,38.283,71.167
AF5X14007039,AF,38.142,70.936
AF5X14008027,AF,38.102,71.241
AQ6C20100011,AQ,-61.128,-54.037
AQ6C20111003,AQ,-62.924,-62.378
AQ6C20200016,AQ,-60.729,-44.57
AQ6C20200019,AQ,-60.7,-44.545
AQ6C20200030,AQ,-60.741,-44.582
AQ6C20200034,AQ,-60.74,-44.727
AQ6C20204122,AQ,-60.584,-45.724
AQ6C20205006,AQ,-60.721,-45.61
AQ6C50100003,AQ,-66.559,162.808
AQ7DGC000022,AQ,-64.574,-61.5531
AQ7DGC000077,AQ,-65.8064,-64.606
AQ7DGC000124,AQ,-65.4609,-63.7604
AQ7JRI000012,AQ,-63.8671,-57.2949
AQ7JRI000037,AQ,-64.1137,-57.1749
AQ7JRI000089,AQ,-64.2308,-57.2858
AQ7JRI000119,AQ,-64.1278,-58.1997
AQ7LAB000022,AQ,-65.748,-62.3888
AQ7LAB000029,AQ,-65.8681,-62.7652
AQ7LCN000001,AQ,-66.2617,-62.8952
AQ7LCN000006,AQ,-66.2328,-63.7182
AQ7LCN000022,AQ,-66.8919,-64.4249
AQ7LCS000010,AQ,-68.0259,-65.5994
AQ7LCS000035,AQ,-68.7246,-65.0103
AQ7LOC000044,AQ,-67.6717,-67.2522
US2N31850000,US,59.96,-149.81
AQ7MGB000034,AQ,-68.5156,-67.1091
AQ7MGB000067,AQ,-68.3388,-66.6803
AQ7PAR000007,AQ,-64.4244,-62.6337
AQ7SSI000124,AQ,-62.108,-58.4753
AQ7SSI000126,AQ,-62.0651,-58.4688
AQ7SSI000143,AQ,-62.1776,-58.289
AQ7SSI000162,AQ,-61.942,-57.6763
AQ7SSI000207,AQ,-62.7078,-60.1515
AQ7SSI000215,AQ,-62.6572,-59.948
AQ7SSI004200,AQ,-63.0008,-60.6575
AQ7TPE000037,AQ,-64.182,-59.0375
AQ7TPE000049,AQ,-63.8835,-59.8126
AQ7TPE000059,AQ,-64.3443,-60.9107
AQ7TPE000118,AQ,-64.1809,-60.9265
AR1I0111B009,AR,-36.615,-70.437
AR1I0111B064,AR,-36.541,-70.478
AR1I0111B066,AR,-36.541,-70.47
AR1I0111B080,AR,-36.535,-70.415
AR1I0111B104,AR,-36.639,-70.49
AR1I0111B128,AR,-36.785,-70.341
AR1I0111B152,AR,-36.666,-70.326
AR1I0112A029,AR,-36.85,-71.096
AR1I0112D008,AR,-37.046,-70.541
AR1I0112E040,AR,-37.852,-71.12
AR1I0112F033,AR,-38.396,-70.886
AR1I0125A020,AR,-40.581,-71.828
AR1I0125A098,AR,-40.542,-71.633
AR1I0125A102,AR,-40.556,-71.633
AR1I0125A111,AR,-40.645,-71.633
AR1I0125A120,AR,-40.617,-71.639
AR1I0125A148,AR,-40.55,-71.717
AR1I0125A151,AR,-40.556,-71.711
AR1I0125B010,AR,-40.702,-71.634
AR1I0125B073,AR,-40.741,-71.877
AR1I0125B128,AR,-40.805,-71.376
AR1I0125B141,AR,-40.814,-71.344
AR1I0126A063,AR,-40.879,-71.685
AR1I0126A066,AR,-40.981,-71.716
AR1I0126A070,AR,-40.91,-71.688
AR1I0126A092,AR,-40.881,-71.371
AR1I0133A015,AR,-38.963,-71.276
AR1I0133B025,AR,-39.151,-70.601
AR1I0133C041,AR,-39.497,-71.19
AR1I0133D020,AR,-39.636,-71.491
AR1I0133D021,AR,-39.638,-71.478
AR1I0133D057,AR,-39.622,-71.52
AR1I0133E003,AR,-39.772,-71.55
AR1I0134B024,AR,-40.126,-71.604
AR1I0134C019,AR,-40.282,-71.736
AR1I0134C071,AR,-40.183,-71.25
AR1I60111007,AR,-50.475,-73.2
AR1I60112005,AR,-50.362,-73.283
AR1I60112007,AR,-50.375,-73.3
AR1I60112021,AR,-50.333,-73.292
AR1I60113006,AR,-50.172,-73.321
AR1I60114003,AR,-49.939,-73.35
AR1I60114023,AR,-49.779,-73.033
AR1I60210005,AR,-49.958,-72.983
AR1I60232010,AR,-49.233,-73.117
AR1I60233007,AR,-49.133,-73.05
AR1I60234003,AR,-49.083,-73.1
AR1J1011A019,AR,-36.331,-70.503
AR1J11100925,AR,-32.934,-69.626
AR1J11124001,AR,-32.888,-69.4
AR1J11131404,AR,-32.421,-69.635
AR1J11131607,AR,-32.375,-69.703
AR1J11132208,AR,-32.272,-69.606
AR1J11146034,AR,-32.586,-69.726
AR1J11146035,AR,-32.57,-69.723
AR1J11155007,AR,-32.886,-69.458
AR1J11155041,AR,-32.925,-69.451
AR1J11161003,AR,-32.689,-69.775
AR1J11166021,AR,-32.624,-69.801
AR1J11173011,AR,-32.957,-69.955
AR1J11173028,AR,-32.893,-69.925
AR1J11175026,AR,-33.086,-69.573
AR1J11176001,AR,-33.071,-69.886
AR1J11176012,AR,-33.041,-69.905
AR1J11177001,AR,-33.076,-69.721
AR1J11178244,AR,-33.292,-69.789
